anomaly_type,entity_type,entity_id,service_month,metric,metric_value,severity,rationale
High billed claim,claim,CLM0006443,2025-09-01,billed_amount,44051.53,High,Claim billed amount z-score 11.51.
High billed claim,claim,CLM0008423,2025-07-01,billed_amount,44046.31,High,Claim billed amount z-score 11.51.
High billed claim,claim,CLM0004840,2025-05-01,billed_amount,43022.47,High,Claim billed amount z-score 11.23.
High billed claim,claim,CLM0013784,2025-11-01,billed_amount,40183.14,High,Claim billed amount z-score 10.45.
High billed claim,claim,CLM0011551,2025-04-01,billed_amount,38591.64,High,Claim billed amount z-score 10.01.
High billed claim,claim,CLM0018806,2025-06-01,billed_amount,38368.61,High,Claim billed amount z-score 9.95.
High billed claim,claim,CLM0004815,2025-11-01,billed_amount,37745.49,High,Claim billed amount z-score 9.78.
High billed claim,claim,CLM0003026,2025-09-01,billed_amount,35773.12,High,Claim billed amount z-score 9.24.
High billed claim,claim,CLM0011578,2025-04-01,billed_amount,35438.91,High,Claim billed amount z-score 9.15.
High billed claim,claim,CLM0009129,2025-05-01,billed_amount,35275.38,High,Claim billed amount z-score 9.10.
High billed claim,claim,CLM0005347,2024-10-01,billed_amount,35123.87,High,Claim billed amount z-score 9.06.
High billed claim,claim,CLM0015722,2025-05-01,billed_amount,35018.71,High,Claim billed amount z-score 9.03.
High billed claim,claim,CLM0016129,2025-11-01,billed_amount,34756.06,High,Claim billed amount z-score 8.96.
High billed claim,claim,CLM0003583,2024-11-01,billed_amount,34737.79,High,Claim billed amount z-score 8.96.
High billed claim,claim,CLM0002930,2024-06-01,billed_amount,34614.41,High,Claim billed amount z-score 8.92.
High billed claim,claim,CLM0016839,2025-09-01,billed_amount,34330.8,High,Claim billed amount z-score 8.85.
High billed claim,claim,CLM0004839,2025-04-01,billed_amount,33820.7,High,Claim billed amount z-score 8.71.
High billed claim,claim,CLM0018098,2024-03-01,billed_amount,33594.97,High,Claim billed amount z-score 8.64.
High billed claim,claim,CLM0000802,2025-03-01,billed_amount,33451.98,High,Claim billed amount z-score 8.60.
High billed claim,claim,CLM0015169,2025-08-01,billed_amount,32104.39,High,Claim billed amount z-score 8.24.
High billed claim,claim,CLM0015298,2025-04-01,billed_amount,32071.87,High,Claim billed amount z-score 8.23.
High billed claim,claim,CLM0005547,2024-07-01,billed_amount,31990.89,High,Claim billed amount z-score 8.20.
High billed claim,claim,CLM0017609,2025-05-01,billed_amount,31569.2,High,Claim billed amount z-score 8.09.
High billed claim,claim,CLM0008874,2025-07-01,billed_amount,31055.92,High,Claim billed amount z-score 7.95.
High billed claim,claim,CLM0009845,2025-11-01,billed_amount,30920.77,High,Claim billed amount z-score 7.91.
High billed claim,claim,CLM0011814,2025-11-01,billed_amount,30599.54,High,Claim billed amount z-score 7.82.
High billed claim,claim,CLM0017058,2024-04-01,billed_amount,30136.12,High,Claim billed amount z-score 7.70.
High billed claim,claim,CLM0001359,2024-05-01,billed_amount,30021.55,High,Claim billed amount z-score 7.66.
High billed claim,claim,CLM0003503,2025-03-01,billed_amount,29557.17,High,Claim billed amount z-score 7.54.
High billed claim,claim,CLM0009897,2024-03-01,billed_amount,29264.36,High,Claim billed amount z-score 7.46.
High billed claim,claim,CLM0003975,2025-10-01,billed_amount,29055.45,High,Claim billed amount z-score 7.40.
High billed claim,claim,CLM0010840,2025-01-01,billed_amount,29002.25,High,Claim billed amount z-score 7.38.
High billed claim,claim,CLM0001882,2025-12-01,billed_amount,28999.87,High,Claim billed amount z-score 7.38.
High billed claim,claim,CLM0012294,2024-11-01,billed_amount,28991.07,High,Claim billed amount z-score 7.38.
High billed claim,claim,CLM0012507,2025-09-01,billed_amount,28981.99,High,Claim billed amount z-score 7.38.
High billed claim,claim,CLM0012565,2025-11-01,billed_amount,28831.73,High,Claim billed amount z-score 7.34.
High billed claim,claim,CLM0001964,2025-04-01,billed_amount,28694.06,High,Claim billed amount z-score 7.30.
High billed claim,claim,CLM0017165,2025-09-01,billed_amount,28664.46,High,Claim billed amount z-score 7.29.
High billed claim,claim,CLM0014593,2024-11-01,billed_amount,28544.69,High,Claim billed amount z-score 7.26.
High billed claim,claim,CLM0012245,2024-07-01,billed_amount,28532.03,High,Claim billed amount z-score 7.26.
High billed claim,claim,CLM0013562,2024-03-01,billed_amount,28504.46,High,Claim billed amount z-score 7.25.
High billed claim,claim,CLM0018034,2025-02-01,billed_amount,28151.57,High,Claim billed amount z-score 7.15.
High billed claim,claim,CLM0012949,2024-11-01,billed_amount,28065.6,High,Claim billed amount z-score 7.13.
High billed claim,claim,CLM0016172,2025-12-01,billed_amount,27940.03,High,Claim billed amount z-score 7.09.
High billed claim,claim,CLM0002452,2025-05-01,billed_amount,27780.78,High,Claim billed amount z-score 7.05.
High billed claim,claim,CLM0004531,2025-05-01,billed_amount,27692.99,High,Claim billed amount z-score 7.03.
High billed claim,claim,CLM0011393,2024-09-01,billed_amount,27464.68,High,Claim billed amount z-score 6.96.
High billed claim,claim,CLM0001672,2024-04-01,billed_amount,27331.34,High,Claim billed amount z-score 6.93.
High billed claim,claim,CLM0019537,2025-07-01,billed_amount,27200.58,High,Claim billed amount z-score 6.89.
High billed claim,claim,CLM0012298,2025-10-01,billed_amount,27145.61,High,Claim billed amount z-score 6.88.
High billed claim,claim,CLM0016425,2024-11-01,billed_amount,27062.13,High,Claim billed amount z-score 6.85.
High billed claim,claim,CLM0011072,2025-09-01,billed_amount,26885.93,High,Claim billed amount z-score 6.80.
High billed claim,claim,CLM0015293,2025-11-01,billed_amount,26867.68,High,Claim billed amount z-score 6.80.
