diagnosis_code,total_claims,denied_claims,total_billed,total_allowed,total_paid,member_responsibility,unique_members,denial_rate,paid_to_billed_rate
C50,1838,75,3629467.47,2277665.75,1916384.28,221645.03,1660,0.040805223068552776,0.5280070136570201
E11,1808,75,3641571.26,2299402.56,1938116.72,228983.99,1638,0.041482300884955754,0.5322199077329054
F32,1818,91,3518514.46,2188002.18,1795101.25,224937.28,1654,0.05005500550055005,0.5101872595402095
I10,1812,74,3701724.92,2314363.67,1963266.22,228940.8,1638,0.04083885209713024,0.5303652384845495
J44,1856,85,3519674.5,2203351.52,1843451.71,221804.53,1666,0.045797413793103446,0.5237563047378386
K21,1820,89,3942473.06,2498400.19,2118600.63,241300.67,1673,0.0489010989010989,0.5373785940340705
M54,1735,79,3720420.89,2310018.83,1935373.51,228152.31,1566,0.04553314121037464,0.5202028392008088
N18,1794,89,3686021.29,2299526.16,1869951.25,232130.75,1622,0.049609810479375696,0.5073088576761856
O80,1767,83,3832620.13,2386001.2,1996038.86,235711.96,1616,0.04697226938313526,0.5208026864900905
R07,1865,87,4094402.28,2566685.54,2158105.32,252523.01,1677,0.04664879356568365,0.5270867815167395
Z00,1887,81,4010099.04,2530381.1,2145921.82,243216.53,1718,0.04292527821939587,0.5351293817421526
