service_month,total_claims,denied_claims,total_billed,total_allowed,total_paid,member_responsibility,unique_members,denial_rate,paid_to_billed_rate
2024-01-01,883,38,1404347.94,895573.27,741253.55,88866.55,842,0.04303510758776897,0.5278275624486621
2024-02-01,809,29,1441988.32,904294.57,773202.5,94232.0,772,0.03584672435105068,0.5362057995032858
2024-03-01,826,38,1703907.34,1078848.16,905343.94,102991.74,794,0.04600484261501211,0.5313340219545036
2024-04-01,873,44,1721783.6,1093474.92,913477.6,101342.26,837,0.050400916380297825,0.5305414687420649
2024-05-01,830,32,1704389.86,1087332.72,929083.09,107406.76,787,0.03855421686746988,0.5451118384381846
2024-06-01,841,40,1713866.94,1075364.91,895467.13,103245.53,788,0.04756242568370987,0.5224834607055318
2024-07-01,833,37,1605871.67,1021391.24,870637.61,102509.85,787,0.04441776710684274,0.5421588949258941
2024-08-01,859,32,1432479.09,904994.54,777356.87,87838.33,813,0.037252619324796274,0.5426654220830546
2024-09-01,840,28,1477597.95,927983.56,783085.69,91317.61,806,0.03333333333333333,0.529972101003524
2024-10-01,833,34,1517913.52,969047.64,824375.71,96020.47,795,0.04081632653061224,0.54309794276027
2024-11-01,863,42,1599269.74,1039849.59,870606.91,103973.87,824,0.04866743916570104,0.5443777795733196
2024-12-01,786,36,1523588.27,959254.96,802607.83,99826.2,751,0.04580152671755725,0.5267878768848752
2025-01-01,886,41,1969708.03,1251637.16,1052819.67,122100.09,840,0.046275395033860044,0.5345054464747244
2025-02-01,830,29,1804287.06,1141333.65,963359.61,114988.86,789,0.03493975903614458,0.5339281267139387
2025-03-01,842,41,2065500.74,1272341.17,1069415.87,122449.52,804,0.048693586698337295,0.5177513855550592
2025-04-01,824,39,2064782.01,1280479.39,1060484.67,138229.12,786,0.04733009708737864,0.5136061167057533
2025-05-01,805,38,2034652.06,1302795.58,1077930.35,131574.71,768,0.04720496894409938,0.5297860853909342
2025-06-01,870,44,1957915.07,1227648.97,1022403.26,122027.26,831,0.05057471264367816,0.5221897903875882
2025-07-01,819,41,1807952.3,1123294.72,939194.36,110097.84,785,0.050061050061050064,0.5194796123769415
2025-08-01,785,45,1560159.5,983487.03,809771.03,98395.33,751,0.05732484076433121,0.5190309260046809
2025-09-01,809,37,1736714.81,1076277.6,889749.88,115447.38,776,0.04573547589616811,0.5123177823306522
2025-10-01,773,43,1445374.09,886361.4,744548.85,87350.05,735,0.055627425614489,0.5151253610752078
2025-11-01,813,46,2112133.6,1206034.13,970852.75,99154.62,778,0.056580565805658053,0.45965499057445985
2025-12-01,868,34,1890805.79,1164697.82,993282.84,117960.91,834,0.03917050691244239,0.5253225081355394
