procedure_code,total_claims,denied_claims,total_billed,total_allowed,total_paid,member_responsibility,unique_members,denial_rate,paid_to_billed_rate
27447,1938,90,3954171.59,2456088.2399999998,2068452.21,234638.13999999998,1738,0.04643962848297214,0.5231063354031128
45378,2004,87,4180456.2600000002,2597253.42,2200516.61,261803.36,1807,0.04341317365269461,0.5263819241586801
70551,2000,80,3922843.11,2493013.37,2089616.09,243377.59,1797,0.04,0.532678985981675
71046,2079,96,4305406.15,2704589.76,2260075.06,270401.95,1839,0.046176046176046176,0.5249388748144005
80053,1886,85,4080508.69,2554667.91,2124690.94,249566.49,1684,0.045068928950159064,0.5206926639335254
93000,1990,98,4113100.77,2588981.15,2198015.99,249882.04,1789,0.04924623115577889,0.5343939069112572
99213,2070,110,4322585.55,2693971.71,2221713.2,272277.39,1857,0.05314009661835749,0.5139778436542454
99214,1982,82,4010557.9,2558617.57,2110162.65,267816.46,1762,0.04137235116044399,0.5261518977197661
A0429,2048,93,4312260.12,2692555.24,2270138.25,260658.05,1814,0.04541015625,0.5264381523441123
J3490,2003,87,4095099.16,2534060.33,2136930.57,248925.39,1796,0.04343484772840739,0.5218263310625181
