provider_id,provider_name,total_claims,denied_claims,total_billed,total_allowed,total_paid,member_responsibility,unique_members,denial_rate,paid_to_billed_rate
PRV001,Provider Group 01,511,20,1193416.69,748233.5,612017.77,72337.66,495,0.03913894324853229,0.5128282310179524
PRV002,Provider Group 02,484,24,1092993.1300000001,690172.01,589499.02,69605.77,473,0.049586776859504134,0.5393437559849987
PRV003,Provider Group 03,503,21,947349.73,589187.67,499898.79,55085.63,485,0.041749502982107355,0.5276813558599948
PRV004,Provider Group 04,460,20,1707009.34,1060283.84,890735.98,99073.39,447,0.043478260869565216,0.5218108414099245
PRV005,Provider Group 05,527,26,965801.06,611194.51,509814.36,58607.65,511,0.04933586337760911,0.5278668466153889
PRV006,Provider Group 06,511,28,936685.31,601109.35,483570.88,57191.36,496,0.0547945205479452,0.5162575678698323
PRV007,Provider Group 07,492,13,1082675.62,681034.95,583401.15,69781.96,482,0.026422764227642278,0.5388512858542063
PRV008,Provider Group 08,489,26,968969.85,593574.6,494908.57,57104.72,476,0.053169734151329244,0.5107574502963121
PRV009,Provider Group 09,534,21,1180691.61,753138.8,648225.9,70514.31,519,0.03932584269662921,0.5490221955587539
PRV010,Provider Group 10,516,16,1148312.92,732637.21,626162.54,75304.45,498,0.031007751937984496,0.5452891185792808
PRV011,Provider Group 11,479,18,1120130.25,706372.13,607320.33,68808.69,468,0.037578288100208766,0.5421872411712834
PRV012,Provider Group 12,488,22,1210393.35,759374.84,635148.45,78672.92,475,0.045081967213114756,0.5247454887289326
PRV013,Provider Group 13,517,18,846188.75,516466.52,440249.39,47026.07,501,0.03481624758220503,0.5202732723638787
PRV014,Provider Group 14,520,26,952645.26,596106.48,508204.07,56892.78,503,0.05,0.5334662243530188
PRV015,Provider Group 15,461,26,838455.11,522411.61,431192.52,51095.27,442,0.05639913232104121,0.5142702511527422
PRV016,Provider Group 16,446,25,885149.16,567999.43,461898.37,56201.69,431,0.05605381165919283,0.5218311114931182
PRV017,Provider Group 17,506,53,1404102.33,854875.86,684867.25,87602.14,493,0.10474308300395258,0.4877616362904262
PRV018,Provider Group 18,505,16,1090648.61,688529.87,585344.9400000001,67302.12,493,0.031683168316831684,0.5366943437446824
PRV019,Provider Group 19,469,17,929988.9299999999,575869.48,484003.42,58093.32,456,0.03624733475479744,0.5204399798608356
PRV020,Provider Group 20,501,20,1160279.23,731465.19,625831.15,72813.81,488,0.03992015968063872,0.5393797749874399
PRV021,Provider Group 21,530,25,858120.36,534323.71,442876.47,53414.65,515,0.04716981132075472,0.516100643504135
PRV022,Provider Group 22,456,19,832457.47,512959.05,435936.5,50833.98,447,0.041666666666666664,0.5236742004369305
PRV023,Provider Group 23,497,41,941559.38,592675.35,485438.79,56826.22,481,0.08249496981891348,0.5155689596549927
PRV024,Provider Group 24,467,19,1056658.81,672766.5599999999,579332.32,66071.68000000001,455,0.04068522483940043,0.5482681017915328
PRV025,Provider Group 25,526,22,1111493.86,698766.9,594870.48,65552.58,509,0.04182509505703422,0.5351990698356174
PRV026,Provider Group 26,535,24,1101509.01,683253.16,567010.77,71425.62,522,0.044859813084112146,0.5147581770574895
PRV027,Provider Group 27,510,26,909921.02,564916.68,470065.4,55404.9,496,0.050980392156862744,0.5166002209730247
PRV028,Provider Group 28,502,14,804099.49,504071.04,435444.43,49662.16,490,0.027888446215139442,0.541530538714805
PRV029,Provider Group 29,548,21,1326824.05,788252.8,661880.04,87013.2,537,0.03832116788321168,0.4988453744111738
PRV030,Provider Group 30,453,19,849763.06,548292.3,455749.69,52276.74,442,0.04194260485651214,0.5363256082230734
PRV031,Provider Group 31,502,24,823857.42,516687.22,431558.95,52299.38,485,0.04780876494023904,0.5238272297165206
PRV032,Provider Group 32,521,23,877569.73,550711.99,460766.51,53736.49,509,0.044145873320537425,0.525048317243121
PRV033,Provider Group 33,495,19,760109.89,490270.09,416570.01,49009.8,478,0.03838383838383838,0.5480391920699782
PRV034,Provider Group 34,507,18,1156484.21,732520.46,603563.92,70864.4,488,0.03550295857988166,0.5218955129530044
PRV035,Provider Group 35,494,26,1093431.87,667685.05,523886.01,70451.81,486,0.05263157894736842,0.47912085276972943
PRV036,Provider Group 36,508,23,1049956.85,670883.6,551489.82,66758.85,490,0.045275590551181105,0.5252499852732042
PRV037,Provider Group 37,471,22,781626.65,490618.65,411956.57,49309.25,452,0.04670912951167728,0.5270503123198269
PRV038,Provider Group 38,519,27,1057943.05,677797.94,574355.47,69414.04,507,0.05202312138728324,0.54289828738891
PRV039,Provider Group 39,508,25,1271649.15,789401.93,654250.6,82060.22,492,0.04921259842519685,0.5144898653846464
PRV040,Provider Group 40,532,15,970067.73,606906.37,521013.97,57845.18,515,0.02819548872180451,0.5370903019318043
