service_category,provider_id,provider_name,payer,total_claims,total_paid,total_allowed,denial_rate,avg_paid_per_claim,benchmark_total,paid_share,benchmark_variance_amount,benchmark_variance_pct
Inpatient,PRV004,Provider Group 04,Commercial,38,434281.25,505552.9,0.05263157894736842,11428.453947368422,373313.88,0.020031135096828315,132239.02000000002,0.3542301186336817
Inpatient,PRV009,Provider Group 09,Commercial,26,198652.13,221576.39,0.0,7640.466538461538,165904.57,0.009162789444174025,55671.82000000001,0.33556531926757655
Inpatient,PRV011,Provider Group 11,Commercial,28,197625.79,224822.62,0.03571428571428571,7058.063928571429,168913.49,0.009115449718603837,55909.130000000005,0.33099268744018023
Inpatient,PRV012,Provider Group 12,Commercial,29,193460.98,219130.44,0.0,6671.06827586207,174128.51,0.008923348697059338,45001.92999999999,0.2584409066614077
Inpatient,PRV010,Provider Group 10,Commercial,28,192742.82,226315.1,0.03571428571428571,6883.672142857143,161483.39,0.008890223711854156,64831.70999999999,0.4014760279679538
Inpatient,PRV024,Provider Group 24,Commercial,22,192494.94999999998,220130.03,0.0,8749.770454545454,164827.08,0.008878790758079496,55302.95000000001,0.33552101996832084
Inpatient,PRV029,Provider Group 29,Commercial,27,186142.4,218577.13,0.0,6894.162962962962,170381.3,0.008585780670125304,48195.830000000016,0.2828704206388848
Inpatient,PRV034,Provider Group 34,Commercial,30,185616.07,237606.49,0.1,6187.202333333334,182666.53,0.008561503804993518,54939.95999999999,0.3007664294055402
Inpatient,PRV038,Provider Group 38,Commercial,29,182129.65,212119.53,0.034482758620689655,6280.33275862069,161892.51,0.008400693385422597,50227.01999999999,0.31024918941586604
Inpatient,PRV025,Provider Group 25,Commercial,25,178301.99,201278.8,0.0,7132.0796,147588.33,0.008224143339652198,53690.47,0.3637853345179799
Inpatient,PRV020,Provider Group 20,Commercial,23,174732.86,203291.88999999998,0.043478260869565216,7597.080869565217,166403.82,0.008059517938007197,36888.06999999998,0.22167802397805517
Inpatient,PRV001,Provider Group 01,Commercial,26,170230.7,223970.04,0.11538461538461539,6547.334615384616,167596.37,0.007851856715728925,56373.67000000001,0.3363656981353475
Inpatient,PRV036,Provider Group 36,Commercial,23,169468.5,209281.47,0.08695652173913043,7368.195652173913,152268.59,0.00781670039440305,57012.880000000005,0.37442311641553916
Inpatient,PRV018,Provider Group 18,Commercial,22,168763.9,198574.95,0.045454545454545456,7671.086363636364,157590.35,0.00778420086146391,40984.600000000006,0.2600704928950282
Inpatient,PRV005,Provider Group 05,Commercial,26,167172.38,193592.06,0.038461538461538464,6429.706923076923,150775.41,0.00771079232234484,42816.649999999994,0.28397634601026783
Inpatient,PRV039,Provider Group 39,Commercial,23,161640.01,203506.22,0.13043478260869565,7027.826521739131,157806.78,0.007455612871526643,45699.44,0.2895911062883357
Inpatient,PRV002,Provider Group 02,Commercial,21,160453.22,182646.93,0.0,7640.629523809524,131428.28,0.007400872422056248,51218.649999999994,0.3897079837003116
Inpatient,PRV017,Provider Group 17,Commercial,17,156379.35,192917.88,0.11764705882352941,9198.785294117648,135746.12,0.007212965989676504,57171.76000000001,0.42116680756694935
Inpatient,PRV026,Provider Group 26,Commercial,26,155215.42,185778.24,0.038461538461538464,5969.823846153847,137134.46,0.007159279953097095,48643.78,0.354715948128574
Inpatient,PRV040,Provider Group 40,Commercial,27,151004.23,175083.83,0.037037037037037035,5592.74925925926,129130.02,0.006965039663403694,45953.80999999998,0.35587239899753736
Inpatient,PRV006,Provider Group 06,Commercial,21,148481.54,189742.26,0.09523809523809523,7070.5495238095245,140594.88,0.006848681095776337,49147.380000000005,0.34956735266604305
Inpatient,PRV019,Provider Group 19,Commercial,24,144669.48,168946.22,0.0,6027.895,124860.34,0.00667285059686068,44085.880000000005,0.35308153093288075
Inpatient,PRV016,Provider Group 16,Commercial,26,142145.34,180876.16999999998,0.11538461538461539,5467.128461538461,136124.99,0.006556425148275671,44751.17999999999,0.3287506577594606
Inpatient,PRV031,Provider Group 31,Commercial,28,133992.9,167256.9,0.07142857142857142,4785.460714285714,130900.54,0.006180395496963791,36356.36,0.27774033628891065
Inpatient,PRV003,Provider Group 03,Commercial,25,133957.02,156249.01,0.04,5358.2807999999995,114373.65,0.006178740539197887,41875.360000000015,0.3661276876273514
Inpatient,PRV021,Provider Group 21,Commercial,31,133381.13,157611.34,0.06451612903225806,4302.617096774194,115764.66,0.006152177729058347,41846.67999999999,0.361480610749429
Inpatient,PRV013,Provider Group 13,Commercial,27,130878.04,152253.4,0.037037037037037035,4847.334814814814,116437.66,0.006036723207479254,35815.73999999999,0.30759584141419527
Inpatient,PRV014,Provider Group 14,Commercial,22,127093.57,143555.3,0.0,5776.980454545454,104661.26,0.005862165291750925,38894.03999999999,0.37161830461433387
Inpatient,PRV030,Provider Group 30,Commercial,21,126531.89,151744.79,0.09523809523809523,6025.328095238096,109722.38,0.005836257914996376,42022.41,0.3829885024367864
Inpatient,PRV033,Provider Group 33,Commercial,22,125070.78,150080.27,0.09090909090909091,5685.035454545455,118008.20999999999,0.00576886451083415,32072.059999999998,0.2717782093296729
Inpatient,PRV032,Provider Group 32,Commercial,24,124450.70999999999,151669.44,0.041666666666666664,5185.44625,114188.34,0.005740263907102142,37481.100000000006,0.3282392930836897
Inpatient,PRV037,Provider Group 37,Commercial,23,121539.61,142769.59,0.043478260869565216,5284.330869565218,103926.68000000001,0.005605990006535685,38842.90999999999,0.3737530151064191
Inpatient,PRV012,Provider Group 12,Medicare Advantage,12,117934.31999999999,134913.75,0.0,9827.859999999999,112382.58,0.005439696732181234,22531.17,0.20048632092269103
Inpatient,PRV015,Provider Group 15,Commercial,18,117356.65000000001,137201.93,0.05555555555555555,6519.81388888889,104454.58,0.005413051819900576,32747.34999999999,0.31350803382675985
Inpatient,PRV007,Provider Group 07,Commercial,16,113569.48999999999,131235.84,0.0,7098.093124999999,98416.08,0.0052383698284646,32819.759999999995,0.33347965088631853
Inpatient,PRV017,Provider Group 17,Medicare Advantage,16,113271.77,134556.18,0.0625,7079.485625,120132.38,0.005224637553490658,14423.799999999988,0.12006588065598957
Inpatient,PRV039,Provider Group 39,Medicare Advantage,16,111869.05,134637.36,0.0625,6991.815625,119086.88,0.005159937376305888,15550.479999999981,0.13058096744158534
Inpatient,PRV027,Provider Group 27,Commercial,19,110546.96,128538.0,0.0,5818.261052631579,96868.39,0.005098956241614567,31669.61,0.32693441069888746
Outpatient,PRV004,Provider Group 04,Commercial,51,110036.54,133211.51,0.0392156862745098,2157.5792156862744,88387.31,0.005075413222025019,44824.20000000001,0.5071338860748225
Inpatient,PRV020,Provider Group 20,Medicare Advantage,17,105614.64,120566.51,0.0,6212.6258823529415,119058.99,0.004871453976064791,1507.5199999999895,0.01266195858036415
Inpatient,PRV035,Provider Group 35,Commercial,16,100760.64,155477.97,0.1875,6297.54,112967.59,0.004647564204724204,42510.380000000005,0.3763059829814906
Inpatient,PRV022,Provider Group 22,Commercial,15,100251.29000000001,117982.56,0.06666666666666667,6683.419333333334,83963.6,0.004624070538668924,34018.95999999999,0.405163189763183
Inpatient,PRV004,Provider Group 04,Medicare Advantage,12,98049.13,111708.87,0.0,8170.760833333334,108218.6,0.004522496352666577,3490.2699999999895,0.032252034308335065
Inpatient,PRV010,Provider Group 10,Medicare Advantage,19,91282.74,108506.73,0.05263157894736842,4804.354736842106,109516.18000000001,0.004210397978150459,-1009.4500000000116,-0.009217359480580965
Outpatient,PRV029,Provider Group 29,Commercial,62,90985.89,106186.73,0.016129032258064516,1467.5143548387098,83102.52,0.004196705831751107,23084.209999999992,0.27777990366597777
Inpatient,PRV029,Provider Group 29,Medicare Advantage,12,90214.42,101232.59,0.0,7517.868333333333,78648.88,0.004161121933544242,22583.709999999992,0.2871459835155948
Inpatient,PRV028,Provider Group 28,Commercial,15,89533.95999999999,100442.75,0.0,5968.930666666666,75849.36,0.0041297358532380165,24593.39,0.3242399144831281
Inpatient,PRV008,Provider Group 08,Commercial,12,89509.95999999999,99632.15,0.0,7459.163333333333,73170.25,0.0041286288580768766,26461.899999999994,0.3616483475182877
Inpatient,PRV002,Provider Group 02,Medicare Advantage,14,83862.73,98422.81,0.07142857142857142,5990.195,88416.78,0.0038681515129166564,10006.029999999999,0.11316890300687267
Outpatient,PRV038,Provider Group 38,Commercial,62,82345.37,101179.24,0.06451612903225806,1328.151129032258,74137.21,0.003798163588845508,27042.03,0.36475651025982764
Outpatient,PRV017,Provider Group 17,Commercial,51,81973.28,107547.56999999999,0.0784313725490196,1607.3192156862744,84313.08,0.0037810010126159825,23234.48999999999,0.2755739678825633
