service_month,claim_type_code,claim_count,claim_line_count,unique_service_count,total_submitted_amount,total_allowed_amount,total_provider_paid_amount,total_covered_paid_amount,total_beneficiary_paid_amount,total_part_d_plan_paid,total_part_d_patient_paid,total_drug_cost
2024-08-01,CARRIER,3,6,2,971.5500000000001,533.4,426.72,0.0,72.39,0.0,0.0,0.0
2024-09-01,OUTPATIENT,1,2,2,279.4,0.0,0.0,149.86,0.0,0.0,0.0,0.0
2025-05-01,OUTPATIENT,1,2,2,393.8,0.0,0.0,211.22,0.0,0.0,0.0,0.0
2016-11-01,PDE,7,7,2,0.0,0.0,0.0,0.0,0.0,38.1,43.0,124.1
2015-10-01,PDE,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,PDE,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,49.8,99.6
2017-03-01,PDE,7,7,2,0.0,0.0,0.0,0.0,0.0,63.800000000000004,42.0,147.8
2017-08-01,PDE,4,4,1,0.0,0.0,0.0,0.0,0.0,37.800000000000004,0.0,37.800000000000004
2016-08-01,PDE,6,6,2,0.0,0.0,0.0,0.0,0.0,0.0,26.7,53.4
2024-05-01,CARRIER,2,4,2,747.15,410.20000000000005,328.15999999999997,0.0,55.67,0.0,0.0,0.0
2024-12-01,CARRIER,4,8,2,1626.9,893.2,714.56,0.0,121.22,0.0,0.0,0.0
2016-10-01,PDE,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,47.2,94.4
2025-01-01,CARRIER,3,6,2,1203.6,660.8,528.64,0.0,89.68,0.0,0.0,0.0
2024-11-01,OUTPATIENT,2,4,2,644.6,0.0,0.0,345.74,0.0,0.0,0.0,0.0
2016-01-01,PDE,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,PDE,4,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,CARRIER,3,6,2,772.65,424.20000000000005,339.35999999999996,0.0,57.56999999999999,0.0,0.0,0.0
2024-10-01,CARRIER,4,8,2,1428.0,784.0,627.1999999999999,0.0,106.4,0.0,0.0,0.0
2025-03-01,CARRIER,4,8,2,1494.3,820.4000000000001,656.3199999999999,0.0,111.34,0.0,0.0,0.0
2016-06-01,PDE,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,CARRIER,3,6,2,1369.35,751.8,601.44,0.0,102.03,0.0,0.0,0.0
2025-01-01,OUTPATIENT,2,4,2,673.2,0.0,0.0,361.08,0.0,0.0,0.0,0.0
2016-12-01,PDE,7,7,2,0.0,0.0,0.0,0.0,0.0,69.0,45.900000000000006,160.8
2016-02-01,PDE,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,PDE,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,CARRIER,3,6,2,872.1,478.8,383.03999999999996,0.0,64.98,0.0,0.0,0.0
2024-07-01,OUTPATIENT,2,4,2,787.5999999999999,0.0,0.0,422.44,0.0,0.0,0.0,0.0
2025-02-01,OUTPATIENT,2,4,2,587.4,0.0,0.0,315.06,0.0,0.0,0.0,0.0
2017-01-01,PDE,7,7,2,0.0,0.0,0.0,0.0,0.0,36.8,65.1,167.0
2017-02-01,PDE,6,6,2,0.0,0.0,0.0,0.0,0.0,34.2,30.300000000000004,94.8
2017-05-01,PDE,7,7,2,0.0,0.0,0.0,0.0,0.0,43.0,26.400000000000002,95.80000000000001
2024-07-01,CARRIER,4,8,2,1195.95,656.6,525.28,0.0,89.11,0.0,0.0,0.0
2024-08-01,OUTPATIENT,2,4,2,387.2,0.0,0.0,207.68,0.0,0.0,0.0,0.0
2016-03-01,PDE,4,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,OUTPATIENT,1,2,2,222.2,0.0,0.0,119.18,0.0,0.0,0.0,0.0
2017-04-01,PDE,7,7,2,0.0,0.0,0.0,0.0,0.0,47.2,74.19999999999999,195.60000000000002
2024-12-01,OUTPATIENT,1,2,2,250.8,0.0,0.0,134.52,0.0,0.0,0.0,0.0
2017-06-01,PDE,6,6,2,0.0,0.0,0.0,0.0,0.0,45.900000000000006,38.1,122.1
2024-09-01,CARRIER,3,6,2,1269.9,697.2,557.76,0.0,94.62,0.0,0.0,0.0
2025-04-01,OUTPATIENT,2,4,2,616.0,0.0,0.0,330.4,0.0,0.0,0.0,0.0
2015-11-01,PDE,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,PDE,4,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,OUTPATIENT,2,4,2,730.4000000000001,0.0,0.0,391.76,0.0,0.0,0.0,0.0
2016-04-01,PDE,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,PDE,2,2,1,0.0,0.0,0.0,0.0,0.0,26.7,0.0,26.7
2017-07-01,PDE,4,4,2,0.0,0.0,0.0,0.0,0.0,57.599999999999994,15.3,88.19999999999999
