service_month,claim_type_code,member_months,claim_count,total_submitted_amount,total_allowed_amount,total_provider_paid_amount,total_covered_paid_amount,total_beneficiary_paid_amount,total_part_d_plan_paid,total_part_d_patient_paid,total_drug_cost,pmpm_submitted,pmpm_allowed,pmpm_provider_paid,pmpm_covered_paid,pmpm_part_d_plan_paid,pmpm_part_d_patient_paid,pmpm_drug_cost
2024-08-01,CARRIER,36,3,971.55,533.4,426.72,0.0,72.39,0.0,0.0,0.0,26.987499999999997,14.816666666666666,11.853333333333333,0.0,0.0,0.0,0.0
2025-01-01,CARRIER,36,3,1203.6,660.8,528.64,0.0,89.68,0.0,0.0,0.0,33.43333333333333,18.355555555555554,14.684444444444445,0.0,0.0,0.0,0.0
2024-11-01,OUTPATIENT,36,2,644.6,0.0,0.0,345.74,0.0,0.0,0.0,0.0,17.905555555555555,0.0,0.0,9.60388888888889,0.0,0.0,0.0
2016-09-01,PDE,36,3,0.0,0.0,0.0,0.0,0.0,0.0,49.8,99.6,0.0,0.0,0.0,0.0,0.0,1.3833333333333333,2.7666666666666666
2016-11-01,PDE,36,7,0.0,0.0,0.0,0.0,0.0,38.1,43.0,124.1,0.0,0.0,0.0,0.0,1.0583333333333333,1.1944444444444444,3.447222222222222
2016-05-01,PDE,36,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,PDE,36,6,0.0,0.0,0.0,0.0,0.0,0.0,26.7,53.4,0.0,0.0,0.0,0.0,0.0,0.7416666666666667,1.4833333333333334
2017-03-01,PDE,36,7,0.0,0.0,0.0,0.0,0.0,63.8,42.0,147.8,0.0,0.0,0.0,0.0,1.7722222222222221,1.1666666666666667,4.105555555555556
2017-08-01,PDE,36,4,0.0,0.0,0.0,0.0,0.0,37.800000000000004,0.0,37.800000000000004,0.0,0.0,0.0,0.0,1.05,0.0,1.05
2025-05-01,OUTPATIENT,36,1,393.8,0.0,0.0,211.22,0.0,0.0,0.0,0.0,10.93888888888889,0.0,0.0,5.867222222222222,0.0,0.0,0.0
2015-10-01,PDE,36,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,PDE,36,3,0.0,0.0,0.0,0.0,0.0,0.0,47.2,94.4,0.0,0.0,0.0,0.0,0.0,1.3111111111111111,2.6222222222222222
2016-01-01,PDE,36,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,OUTPATIENT,36,1,279.4,0.0,0.0,149.86,0.0,0.0,0.0,0.0,7.76111111111111,0.0,0.0,4.162777777777778,0.0,0.0,0.0
2024-12-01,CARRIER,36,4,1626.9,893.2,714.5600000000001,0.0,121.22,0.0,0.0,0.0,45.19166666666667,24.811111111111114,19.84888888888889,0.0,0.0,0.0,0.0
2024-05-01,CARRIER,36,2,747.15,410.2,328.16,0.0,55.67,0.0,0.0,0.0,20.754166666666666,11.394444444444444,9.115555555555556,0.0,0.0,0.0,0.0
2025-02-01,CARRIER,36,3,772.6500000000001,424.20000000000005,339.36,0.0,57.56999999999999,0.0,0.0,0.0,21.462500000000002,11.783333333333335,9.426666666666668,0.0,0.0,0.0,0.0
2025-03-01,CARRIER,36,4,1494.3000000000002,820.3999999999999,656.3199999999999,0.0,111.34,0.0,0.0,0.0,41.50833333333334,22.788888888888884,18.231111111111108,0.0,0.0,0.0,0.0
2016-06-01,PDE,36,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,CARRIER,36,3,1369.35,751.8,601.4399999999999,0.0,102.03,0.0,0.0,0.0,38.037499999999994,20.883333333333333,16.706666666666663,0.0,0.0,0.0,0.0
2016-07-01,PDE,36,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,PDE,36,7,0.0,0.0,0.0,0.0,0.0,69.0,45.900000000000006,160.8,0.0,0.0,0.0,0.0,1.9166666666666667,1.2750000000000001,4.466666666666667
2024-10-01,CARRIER,36,4,1428.0,784.0,627.2,0.0,106.4,0.0,0.0,0.0,39.666666666666664,21.77777777777778,17.422222222222224,0.0,0.0,0.0,0.0
2016-02-01,PDE,36,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,OUTPATIENT,36,2,673.2,0.0,0.0,361.08,0.0,0.0,0.0,0.0,18.700000000000003,0.0,0.0,10.03,0.0,0.0,0.0
2017-01-01,PDE,36,7,0.0,0.0,0.0,0.0,0.0,36.8,65.1,167.0,0.0,0.0,0.0,0.0,1.0222222222222221,1.8083333333333331,4.638888888888889
2017-02-01,PDE,36,6,0.0,0.0,0.0,0.0,0.0,34.2,30.299999999999997,94.8,0.0,0.0,0.0,0.0,0.9500000000000001,0.8416666666666666,2.6333333333333333
2024-07-01,CARRIER,36,4,1195.9499999999998,656.5999999999999,525.28,0.0,89.11,0.0,0.0,0.0,33.22083333333333,18.238888888888887,14.591111111111111,0.0,0.0,0.0,0.0
2017-04-01,PDE,36,7,0.0,0.0,0.0,0.0,0.0,47.2,74.2,195.6,0.0,0.0,0.0,0.0,1.3111111111111111,2.0611111111111113,5.433333333333334
2016-03-01,PDE,36,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,CARRIER,36,3,872.1,478.8,383.04,0.0,64.98,0.0,0.0,0.0,24.225,13.3,10.64,0.0,0.0,0.0,0.0
2024-12-01,OUTPATIENT,36,1,250.8,0.0,0.0,134.52,0.0,0.0,0.0,0.0,6.966666666666667,0.0,0.0,3.736666666666667,0.0,0.0,0.0
2017-05-01,PDE,36,7,0.0,0.0,0.0,0.0,0.0,43.0,26.4,95.80000000000001,0.0,0.0,0.0,0.0,1.1944444444444444,0.7333333333333333,2.6611111111111114
2024-08-01,OUTPATIENT,36,2,387.2,0.0,0.0,207.68,0.0,0.0,0.0,0.0,10.755555555555555,0.0,0.0,5.768888888888889,0.0,0.0,0.0
2024-07-01,OUTPATIENT,36,2,787.5999999999999,0.0,0.0,422.44,0.0,0.0,0.0,0.0,21.877777777777776,0.0,0.0,11.734444444444444,0.0,0.0,0.0
2025-02-01,OUTPATIENT,36,2,587.4,0.0,0.0,315.06,0.0,0.0,0.0,0.0,16.316666666666666,0.0,0.0,8.751666666666667,0.0,0.0,0.0
2025-03-01,OUTPATIENT,36,1,222.2,0.0,0.0,119.18,0.0,0.0,0.0,0.0,6.172222222222222,0.0,0.0,3.3105555555555557,0.0,0.0,0.0
2017-06-01,PDE,36,6,0.0,0.0,0.0,0.0,0.0,45.900000000000006,38.1,122.10000000000001,0.0,0.0,0.0,0.0,1.2750000000000001,1.0583333333333333,3.391666666666667
2024-10-01,OUTPATIENT,36,2,730.4000000000001,0.0,0.0,391.76,0.0,0.0,0.0,0.0,20.28888888888889,0.0,0.0,10.882222222222222,0.0,0.0,0.0
2025-04-01,OUTPATIENT,36,2,616.0,0.0,0.0,330.4,0.0,0.0,0.0,0.0,17.11111111111111,0.0,0.0,9.177777777777777,0.0,0.0,0.0
2015-12-01,PDE,36,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,PDE,36,4,0.0,0.0,0.0,0.0,0.0,57.599999999999994,15.3,88.2,0.0,0.0,0.0,0.0,1.5999999999999999,0.42500000000000004,2.45
2015-11-01,PDE,36,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,PDE,36,2,0.0,0.0,0.0,0.0,0.0,26.7,0.0,26.7,0.0,0.0,0.0,0.0,0.7416666666666667,0.0,0.7416666666666667
2016-04-01,PDE,36,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,CARRIER,36,3,1269.9,697.2,557.76,0.0,94.62,0.0,0.0,0.0,35.275000000000006,19.366666666666667,15.493333333333332,0.0,0.0,0.0,0.0
