provider_identifier,provider_role,provider_source,patient_count,claim_count,claim_line_count,unique_service_count,attributable_cost_basis_total,average_cost_per_claim,average_cost_per_patient,provider_volume_percentile,provider_cost_percentile
0010000920,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000254,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000735,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000957,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010001216,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889663,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010001142,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008888960,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889330,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010001290,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000032,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000291,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889182,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889922,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010001068,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889959,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000106,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889219,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000698,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010001179,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008890070,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0008889552,referring,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000069,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000402,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
0010000439,performing,careTeam.provider,1,1,2,2,,,,0.994475138121547,0.39779005524861877
