provider_identifier,provider_reference,provider_role_code,provider_role_display,provider_source,claim_type_code,claim_count,claim_line_count,patient_count,service_count,total_submitted_amount,total_allowed_amount,total_provider_paid_amount,total_covered_paid_amount,avg_provider_paid_amount,avg_covered_paid_amount
0008888960,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889108,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000254,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000513,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000735,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889626,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000846,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000883,,performing,Performing provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008889885,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0008890107,,referring,Referring provider,careTeam.provider,CARRIER,1,2,1,2,0.0,0.0,0.0,0.0,,
0010000074,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000223,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000259,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000371,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000408,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000557,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000592,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000593,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000703,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
0010000740,,prescribing,Prescribing provider,careTeam.provider,PDE,1,1,1,1,0.0,0.0,0.0,0.0,,
