provider_id,provider_name,service_category,claim_count,unique_members,total_paid,member_months,visits_per_1000_members,cost_per_visit
PRV005,Provider Group 05,Professional,179,174,44161.29,9609,18.628369237173484,246.71111731843575
PRV031,Provider Group 31,Professional,169,166,36146.81,9510,17.770767613038906,213.886449704142
PRV029,Provider Group 29,Professional,167,167,46034.73,9559,17.470446699445546,275.6570658682635
PRV006,Provider Group 06,Professional,164,161,40044.03,9547,17.178171153241856,244.17091463414633
PRV010,Provider Group 10,Professional,164,159,45131.72,9561,17.15301746679218,275.19341463414634
PRV008,Provider Group 08,Professional,162,162,41337.37,9496,17.059814658803706,255.16895061728397
PRV026,Provider Group 26,Professional,163,163,45828.07,9612,16.957969205160214,281.1538036809816
PRV038,Provider Group 38,Professional,161,159,41175.47,9549,16.86040423080951,255.74826086956523
PRV028,Provider Group 28,Professional,161,161,39295.86,9586,16.795326517838514,244.0736645962733
PRV002,Provider Group 02,Professional,161,161,45492.71,9588,16.791823112223614,282.5634161490683
PRV003,Provider Group 03,Professional,158,158,34585.62,9594,16.468626224723785,218.89632911392405
PRV033,Provider Group 33,Professional,156,156,36265.86,9599,16.25169288467549,232.47346153846155
PRV014,Provider Group 14,Professional,153,151,37956.34,9579,15.972439711869715,248.0806535947712
PRV012,Provider Group 12,Professional,152,152,43412.37,9552,15.912897822445562,285.60769736842104
PRV036,Provider Group 36,Professional,152,149,42299.58,9578,15.869701399039464,278.2867105263158
PRV021,Provider Group 21,Professional,151,150,29511.23,9577,15.766941630990916,195.43860927152318
PRV040,Provider Group 40,Professional,151,149,38149.59,9589,15.747210345187192,252.64629139072846
PRV032,Provider Group 32,Professional,151,150,30663.29,9602,15.725890439491772,203.06814569536425
PRV001,Provider Group 01,Professional,150,149,44230.340000000004,9582,15.654351909830932,294.86893333333336
PRV039,Provider Group 39,Professional,150,148,39834.73,9583,15.652718355421056,265.56486666666666
PRV034,Provider Group 34,Professional,150,149,44463.18,9597,15.629884338855891,296.4212
PRV027,Provider Group 27,Professional,149,148,35982.88,9558,15.589035363046664,241.49583892617449
PRV037,Provider Group 37,Professional,148,145,31074.41,9562,15.47793348671826,209.96222972972973
PRV019,Provider Group 19,Professional,148,147,31822.99,9564,15.47469677959013,215.0202027027027
PRV009,Provider Group 09,Professional,147,147,42927.19,9580,15.34446764091858,292.02170068027215
PRV018,Provider Group 18,Professional,147,147,50403.19,9582,15.341264871634314,342.878843537415
PRV013,Provider Group 13,Professional,147,146,27345.64,9607,15.301342770896222,186.0247619047619
PRV020,Provider Group 20,Professional,145,145,42530.82,9595,15.112037519541428,293.316
PRV035,Provider Group 35,Professional,144,143,38160.52,9542,15.091175854118633,265.00361111111107
PRV007,Provider Group 07,Professional,143,142,40596.96,9584,14.920701168614357,283.89482517482514
PRV025,Provider Group 25,Professional,141,141,39266.27,9556,14.755127668480537,278.4841843971631
PRV015,Provider Group 15,Professional,140,136,32688.09,9505,14.729089952656496,233.48635714285714
PRV017,Provider Group 17,Professional,139,139,47390.03,9599,14.480675070319824,340.93546762589926
PRV023,Provider Group 23,Professional,136,136,31342.12,9571,14.209591474245116,230.45676470588234
PRV024,Provider Group 24,Professional,134,133,35855.07,9588,13.975803087192324,267.57514925373135
PRV004,Provider Group 04,Professional,133,133,50438.35,9572,13.894692854157961,379.23571428571427
PRV011,Provider Group 11,Professional,133,132,35594.08,9609,13.841190550525548,267.62466165413537
PRV030,Provider Group 30,Professional,130,128,31406.64,9568,13.58695652173913,241.58953846153847
PRV017,Provider Group 17,Outpatient,129,129,170629.29,9536,13.527684563758388,1322.7076744186047
PRV029,Provider Group 29,Outpatient,128,128,158543.01,9551,13.40173803790179,1238.617265625
PRV032,Provider Group 32,Outpatient,124,123,107619.3,9586,12.93553098268308,867.8975806451613
PRV022,Provider Group 22,Professional,123,122,29102.54,9602,12.809831285148928,236.60601626016262
PRV006,Provider Group 06,Outpatient,122,121,140839.31,9581,12.733535121594823,1154.4205737704917
PRV016,Provider Group 16,Professional,122,120,24943.0,9599,12.709657255964162,204.45081967213116
PRV023,Provider Group 23,Outpatient,121,119,135086.6,9584,12.625208681135225,1116.418181818182
PRV027,Provider Group 27,Outpatient,119,117,121339.6,9525,12.493438320209973,1019.6605042016807
PRV021,Provider Group 21,Outpatient,118,117,98913.7,9565,12.336644014636697,838.2516949152542
PRV038,Provider Group 38,Outpatient,116,115,128372.37,9546,12.151686570291222,1106.6583620689655
PRV024,Provider Group 24,Outpatient,116,115,135488.75,9556,12.138970280452073,1168.0064655172414
PRV040,Provider Group 40,Outpatient,116,115,123131.75,9606,12.075785967103894,1061.4806034482758
PRV001,Provider Group 01,Outpatient,115,115,141486.48,9535,12.060828526481384,1230.3172173913044
PRV022,Provider Group 22,Outpatient,115,114,116422.6,9547,12.04566879648057,1012.3704347826088
PRV030,Provider Group 30,Outpatient,115,115,118931.86,9612,11.96421140241365,1034.1900869565218
PRV025,Provider Group 25,Outpatient,113,113,140221.17,9511,11.880979917989697,1240.8953097345134
PRV011,Provider Group 11,Outpatient,113,113,133136.46,9596,11.775739891621509,1178.198761061947
PRV035,Provider Group 35,Outpatient,112,112,129216.14,9578,11.693464188765923,1153.7155357142858
PRV018,Provider Group 18,Outpatient,111,110,150775.55,9598,11.564909356115857,1358.3382882882881
PRV013,Provider Group 13,Outpatient,111,109,93305.1,9613,11.5468636221783,840.5864864864866
PRV012,Provider Group 12,Outpatient,110,110,126159.66,9600,11.458333333333332,1146.906
PRV020,Provider Group 20,Outpatient,110,107,143634.42,9605,11.452368558042686,1305.7674545454547
PRV009,Provider Group 09,Outpatient,109,109,134039.1,9538,11.42797232124135,1229.716513761468
PRV010,Provider Group 10,Outpatient,109,108,129386.07,9575,11.383812010443865,1187.0281651376147
PRV039,Provider Group 39,Outpatient,109,109,124281.15,9586,11.370749008971417,1140.1940366972476
PRV028,Provider Group 28,Outpatient,108,108,116227.49,9522,11.342155009451796,1076.180462962963
PRV034,Provider Group 34,Outpatient,108,108,119391.99,9527,11.336202372205312,1105.481388888889
PRV031,Provider Group 31,Outpatient,106,105,89901.95,9538,11.113440972950304,848.1316037735849
PRV002,Provider Group 02,Outpatient,106,106,120305.01,9607,11.03362131778911,1134.9529245283018
PRV026,Provider Group 26,Outpatient,105,104,124313.39,9578,10.962622676968051,1183.9370476190477
PRV014,Provider Group 14,Outpatient,105,105,124038.67,9596,10.94205919132972,1181.3206666666667
PRV007,Provider Group 07,Outpatient,105,105,141076.36000000002,9607,10.929530550640159,1343.584380952381
PRV015,Provider Group 15,Outpatient,103,103,105828.5,9568,10.76505016722408,1027.4611650485438
PRV033,Provider Group 33,Outpatient,103,103,92744.95999999999,9594,10.735876589535126,900.4365048543689
PRV008,Provider Group 08,Outpatient,103,103,114807.38,9597,10.732520579347712,1114.6347572815534
PRV037,Provider Group 37,Outpatient,99,98,105304.24,9575,10.339425587467362,1063.679191919192
PRV036,Provider Group 36,Outpatient,99,99,119971.08,9587,10.326483780118911,1211.8290909090908
PRV025,Provider Group 25,Pharmacy,99,97,19231.54,9602,10.310352009997917,194.2579797979798
PRV019,Provider Group 19,Outpatient,98,98,93109.5,9584,10.225375626043407,950.0969387755102
PRV005,Provider Group 05,Outpatient,98,98,108127.03,9601,10.207270076033746,1103.3370408163264
PRV004,Provider Group 04,Outpatient,93,91,175281.42,9498,9.791535060012635,1884.7464516129035
PRV016,Provider Group 16,Outpatient,93,93,89425.51,9593,9.694568956530803,961.5646236559139
PRV003,Provider Group 03,Outpatient,89,89,98354.17,9562,9.307676218364358,1105.103033707865
PRV013,Provider Group 13,Pharmacy,86,84,11902.4,9609,8.949942761993963,138.4
PRV036,Provider Group 36,Pharmacy,85,83,16853.09,9548,8.902387934645999,198.27164705882353
PRV033,Provider Group 33,Pharmacy,83,83,14096.74,9573,8.670218322364985,169.84024096385542
PRV014,Provider Group 14,Pharmacy,82,82,13878.22,9502,8.629762155335719,169.24658536585366
PRV040,Provider Group 40,Pharmacy,81,79,13526.01,9603,8.434864104967199,166.98777777777778
PRV026,Provider Group 26,Pharmacy,80,80,16487.64,9608,8.32639467110741,206.0955
PRV037,Provider Group 37,Pharmacy,79,79,14133.18,9598,8.230881433632005,178.90101265822784
PRV020,Provider Group 20,Pharmacy,78,78,15860.7,9610,8.116545265348595,203.3423076923077
PRV034,Provider Group 34,Pharmacy,77,77,13533.8,9507,8.099295256127064,175.76363636363635
PRV005,Provider Group 05,Pharmacy,77,77,14195.4,9556,8.05776475512767,184.35584415584415
PRV021,Provider Group 21,Pharmacy,77,77,10098.14,9588,8.030871923237381,131.14467532467532
PRV035,Provider Group 35,Pharmacy,76,76,13471.16,9523,7.980678357660401,177.2521052631579
PRV018,Provider Group 18,Pharmacy,75,75,15818.62,9579,7.829627309740057,210.91493333333335
PRV027,Provider Group 27,Pharmacy,75,74,12449.33,9606,7.807620237351655,165.99106666666665
PRV024,Provider Group 24,Pharmacy,74,74,15393.23,9493,7.795217528705361,208.01662162162162
PRV004,Provider Group 04,Pharmacy,73,72,17340.87,9522,7.666456626759084,237.54616438356163
PRV010,Provider Group 10,Pharmacy,73,72,11756.03,9532,7.65841376416282,161.04150684931508
PRV038,Provider Group 38,Pharmacy,73,72,12673.85,9535,7.656004195070792,173.61438356164385
PRV009,Provider Group 09,Pharmacy,73,73,12514.52,9563,7.633587786259541,171.4317808219178
PRV007,Provider Group 07,Pharmacy,73,73,12990.62,9573,7.625613705212578,177.95369863013698
PRV001,Provider Group 01,Pharmacy,73,73,15261.09,9588,7.6136837713808925,209.05602739726027
PRV011,Provider Group 11,Pharmacy,72,72,13589.26,9557,7.533744899026892,188.7397222222222
PRV028,Provider Group 28,Pharmacy,71,71,12622.53,9523,7.455633728866953,177.78211267605636
PRV023,Provider Group 23,Pharmacy,71,71,12581.49,9538,7.44390857622143,177.20408450704224
PRV022,Provider Group 22,Pharmacy,70,70,11854.37,9580,7.306889352818371,169.34814285714288
PRV015,Provider Group 15,Pharmacy,70,69,11300.4,9606,7.287112221528211,161.43428571428572
PRV017,Provider Group 17,Pharmacy,69,69,15303.39,9555,7.221350078492936,221.78826086956522
PRV032,Provider Group 32,Pharmacy,69,69,11084.08,9603,7.18525460793502,160.63884057971015
PRV002,Provider Group 02,Pharmacy,69,69,11654.31,9608,7.181515403830142,168.90304347826086
PRV006,Provider Group 06,Pharmacy,68,68,11902.05,9493,7.1631728642157375,175.03014705882353
PRV003,Provider Group 03,Pharmacy,68,68,11067.57,9576,7.101086048454469,162.75838235294117
PRV016,Provider Group 16,Pharmacy,67,66,11113.73,9570,7.001044932079415,165.8765671641791
PRV008,Provider Group 08,Pharmacy,62,61,12547.89,9525,6.509186351706036,202.38532258064515
PRV031,Provider Group 31,Pharmacy,62,62,8288.69,9594,6.462372316030852,133.68854838709677
PRV029,Provider Group 29,Pharmacy,61,60,10281.39,9514,6.4116039520706325,168.5473770491803
PRV019,Provider Group 19,Pharmacy,60,59,9551.34,9566,6.272214091574326,159.189
PRV010,Provider Group 10,Inpatient,60,60,362389.61,9579,6.263701847792045,6039.8268333333335
PRV012,Provider Group 12,Pharmacy,59,59,10667.98,9451,6.242725637498677,180.81322033898303
PRV039,Provider Group 39,Pharmacy,59,59,11228.46,9555,6.174777603349032,190.31288135593218
PRV029,Provider Group 29,Inpatient,59,59,344610.77999999997,9582,6.157378417866834,5840.860677966101
PRV021,Provider Group 21,Inpatient,59,59,243098.94,9595,6.149035956227201,4120.321016949152
PRV004,Provider Group 04,Inpatient,58,58,563438.09,9591,6.047336044208111,9714.449827586206
PRV034,Provider Group 34,Inpatient,58,58,344443.55,9591,6.047336044208111,5938.681896551724
PRV009,Provider Group 09,Inpatient,57,57,352901.76,9567,5.957980558168705,6191.258947368421
PRV038,Provider Group 38,Inpatient,57,57,312191.36,9573,5.954246317768725,5477.0414035087715
PRV039,Provider Group 39,Emergency,55,54,84131.2,9446,5.822570400169384,1529.6581818181817
PRV012,Provider Group 12,Inpatient,55,55,375760.52,9528,5.772460117548278,6832.009454545455
PRV001,Provider Group 01,Inpatient,55,54,310240.05,9552,5.757956448911223,5640.728181818182
PRV003,Provider Group 03,Inpatient,55,55,262253.31,9564,5.75073191133417,4768.242
PRV013,Provider Group 13,Inpatient,55,55,247863.57,9588,5.7363370880266995,4506.610363636364
PRV039,Provider Group 39,Inpatient,55,55,362655.6,9600,5.729166666666666,6593.738181818181
PRV011,Provider Group 11,Inpatient,54,54,346792.77999999997,9604,5.622657226155768,6422.088518518518
PRV002,Provider Group 02,Inpatient,53,53,340471.76,9455,5.605499735589635,6423.995471698114
PRV009,Provider Group 09,Imaging,53,52,32400.65,9496,5.581297388374052,611.3330188679246
PRV016,Provider Group 16,Inpatient,53,53,260332.0,9574,5.535826195947357,4911.924528301887
PRV030,Provider Group 30,Pharmacy,53,53,7860.94,9584,5.530050083472454,148.31962264150943
PRV026,Provider Group 26,Inpatient,52,52,282363.18,9487,5.481184779171498,5430.0611538461535
PRV029,Provider Group 29,Emergency,52,51,71479.39,9501,5.4731080938848535,1374.6036538461537
PRV020,Provider Group 20,Inpatient,52,51,340001.81,9544,5.448449287510478,6538.496346153846
PRV025,Provider Group 25,Emergency,52,52,84413.61,9562,5.438192846684794,1623.3386538461539
PRV003,Provider Group 03,Emergency,52,52,67205.53,9566,5.435918879364416,1292.4140384615384
PRV009,Provider Group 09,Emergency,51,51,69379.93,9472,5.38429054054054,1360.3907843137254
PRV005,Provider Group 05,Inpatient,50,50,258998.18,9452,5.289885738468049,5179.9636
PRV028,Provider Group 28,Emergency,50,50,67538.29,9491,5.268148772521336,1350.7658
PRV040,Provider Group 40,Imaging,50,50,23667.92,9546,5.237795935470354,473.35839999999996
PRV021,Provider Group 21,Emergency,50,50,46387.62,9546,5.237795935470354,927.7524000000001
PRV017,Provider Group 17,Inpatient,50,50,356851.49,9564,5.227938101212882,7137.0298
PRV014,Provider Group 14,Inpatient,50,50,254592.37,9576,5.221386800334169,5091.8474
PRV019,Provider Group 19,Inpatient,50,50,278050.89,9592,5.212677231025855,5561.0178000000005
PRV031,Provider Group 31,Inpatient,50,50,241368.36000000002,9607,5.204538357447695,4827.367200000001
PRV033,Provider Group 33,Emergency,49,49,49357.9,9456,5.1818950930626055,1007.304081632653
PRV034,Provider Group 34,Emergency,49,49,64006.55,9511,5.151929344968983,1306.2561224489796
PRV026,Provider Group 26,Emergency,49,49,69264.3,9521,5.1465182228757484,1413.557142857143
PRV018,Provider Group 18,Imaging,49,49,29607.0,9547,5.132502356761286,604.2244897959183
PRV032,Provider Group 32,Inpatient,49,49,241691.06999999998,9591,5.108956313210301,4932.47081632653
PRV035,Provider Group 35,Inpatient,48,48,259439.97999999998,9445,5.082053996823716,5404.999583333333
PRV007,Provider Group 07,Imaging,48,48,30608.36,9514,5.045196552449022,637.6741666666667
PRV014,Provider Group 14,Imaging,48,48,25930.15,9533,5.035141088849261,540.2114583333333
PRV007,Provider Group 07,Emergency,48,48,78919.58,9542,5.030391951372877,1644.1579166666668
PRV023,Provider Group 23,Imaging,48,48,27360.079999999998,9550,5.026178010471204,570.0016666666667
PRV014,Provider Group 14,Emergency,48,47,49319.69,9553,5.024599602219198,1027.4935416666667
PRV003,Provider Group 03,Imaging,47,47,24162.77,9383,5.009058936374294,514.1014893617022
PRV029,Provider Group 29,Imaging,48,48,27949.99,9584,5.0083472454090145,582.2914583333334
PRV036,Provider Group 36,Imaging,47,47,26998.57,9503,4.945806587393455,574.4376595744681
PRV008,Provider Group 08,Imaging,47,47,27687.99,9528,4.932829554995801,589.106170212766
PRV025,Provider Group 25,Inpatient,47,46,289039.02,9555,4.918890633176348,6149.766382978723
PRV026,Provider Group 26,Lab,46,46,4580.09,9529,4.827369083849303,99.56717391304348
PRV040,Provider Group 40,Inpatient,46,46,249893.75,9580,4.801670146137787,5432.472826086957
PRV015,Provider Group 15,Inpatient,46,46,229400.91,9589,4.797163416414642,4986.976304347826
PRV035,Provider Group 35,Emergency,45,45,61666.02,9543,4.715498270983967,1370.356
PRV007,Provider Group 07,Inpatient,45,45,276235.6,9561,4.706620646375902,6138.568888888888
PRV027,Provider Group 27,Emergency,45,44,54661.53,9561,4.706620646375902,1214.7006666666666
PRV022,Provider Group 22,Imaging,45,44,18793.88,9584,4.695325542570952,417.6417777777778
PRV031,Provider Group 31,Imaging,45,45,18506.83,9585,4.694835680751174,411.26288888888894
PRV028,Provider Group 28,Imaging,45,45,20504.89,9594,4.690431519699813,455.66422222222224
PRV016,Provider Group 16,Emergency,45,44,59057.13,9602,4.686523640908144,1312.3806666666667
PRV040,Provider Group 40,Emergency,45,45,69148.02,9603,4.686035613870665,1536.6226666666666
PRV011,Provider Group 11,Emergency,44,44,56057.06,9494,4.634506003791869,1274.0240909090908
PRV012,Provider Group 12,Emergency,44,44,57468.84,9523,4.620392733382338,1306.11
PRV024,Provider Group 24,Inpatient,44,44,318649.64,9536,4.614093959731544,7242.037272727273
PRV018,Provider Group 18,Inpatient,44,44,272146.29,9543,4.610709420517657,6185.142954545454
PRV037,Provider Group 37,Emergency,44,44,53265.15,9543,4.610709420517657,1210.571590909091
PRV013,Provider Group 13,Lab,44,44,2706.22,9544,4.610226320201173,61.504999999999995
PRV032,Provider Group 32,Imaging,44,44,16312.210000000001,9556,4.604437002930097,370.73204545454547
PRV018,Provider Group 18,Emergency,44,44,62887.47,9556,4.604437002930097,1429.2606818181819
PRV032,Provider Group 32,Emergency,44,44,50224.28,9557,4.603955216071989,1141.4609090909091
PRV027,Provider Group 27,Inpatient,44,44,219946.11000000002,9569,4.598181628174313,4998.7752272727275
PRV023,Provider Group 23,Inpatient,44,44,223464.53,9570,4.597701149425287,5078.739318181818
PRV009,Provider Group 09,Lab,44,44,4062.75,9574,4.595780238144976,92.33522727272727
PRV022,Provider Group 22,Emergency,44,44,53699.94,9597,4.584766072731062,1220.453181818182
PRV036,Provider Group 36,Inpatient,43,43,288424.65,9445,4.552673372154579,6707.55
PRV005,Provider Group 05,Emergency,43,43,59247.57,9482,4.534908247205231,1377.850465116279
PRV002,Provider Group 02,Emergency,43,43,53923.16,9499,4.526792293925676,1254.0269767441862
PRV040,Provider Group 40,Lab,43,43,3496.93,9507,4.522983065109918,81.32395348837208
PRV006,Provider Group 06,Emergency,43,43,49837.65,9516,4.51870533837747,1159.0151162790698
PRV033,Provider Group 33,Inpatient,42,42,207620.47,9326,4.503538494531417,4943.344523809524
PRV020,Provider Group 20,Emergency,43,43,57197.97,9557,4.4993198702521715,1330.1853488372094
PRV019,Provider Group 19,Emergency,43,43,52072.07,9585,4.486176317162233,1210.9783720930232
PRV030,Provider Group 30,Inpatient,43,43,223864.96,9595,4.481500781657114,5206.161860465116
PRV010,Provider Group 10,Emergency,42,42,48637.77,9468,4.435994930291509,1158.0421428571428
PRV036,Provider Group 36,Lab,42,42,3552.54,9517,4.413155406115372,84.58428571428571
PRV030,Provider Group 30,Emergency,42,42,55008.42,9525,4.409448818897638,1309.7242857142858
PRV017,Provider Group 17,Imaging,42,42,26883.170000000002,9528,4.408060453400504,640.0754761904763
PRV039,Provider Group 39,Imaging,42,42,28829.21,9537,4.403900597672224,686.4097619047619
PRV010,Provider Group 10,Imaging,42,42,27110.41,9546,4.3997485857950975,645.4859523809524
PRV038,Provider Group 38,Emergency,42,42,53814.35,9552,4.396984924623116,1281.2940476190477
PRV005,Provider Group 05,Imaging,41,40,21915.93,9500,4.315789473684211,534.5348780487805
PRV025,Provider Group 25,Lab,41,41,3597.52,9529,4.3026550529961165,87.74439024390244
