service_month,total_claims,unique_members,total_billed,total_allowed,total_paid,member_responsibility,denied_claims,member_months,denial_rate,paid_per_claim,pmpm,claims_per_1000_members
2024-01-01,883,842,1404347.94,895573.27,741253.55,88866.55,38,8969,0.04303510758776897,839.4717440543602,82.64617571635634,98.45021741554243
2024-02-01,809,772,1441988.32,904294.57,773202.5,94232.0,29,8997,0.03584672435105068,955.7509270704574,85.94003556741136,89.91886184283649
2024-03-01,826,794,1703907.34,1078848.16,905343.94,102991.74,38,9025,0.04600484261501211,1096.05803874092,100.31511800554016,91.5235457063712
2024-04-01,873,837,1721783.6,1093474.92,913477.6,101342.26,44,9053,0.050400916380297825,1046.3660939289805,100.90330277256157,96.43212194852535
2024-05-01,830,787,1704389.86,1087332.72,929083.09,107406.76,32,9081,0.03855421686746988,1119.3772168674698,102.31065851778438,91.39962559189517
2024-06-01,841,788,1713866.94,1075364.91,895467.13,103245.53,40,9109,0.04756242568370987,1064.7647205707492,98.30575584586673,92.32627072126469
2024-07-01,833,787,1605871.67,1021391.24,870637.61,102509.85,37,9137,0.04441776710684274,1045.1832052821128,95.28703184852796,91.16777935865164
2024-08-01,859,813,1432479.09,904994.54,777356.87,87838.33,32,9165,0.037252619324796274,904.9556111757857,84.81798908892526,93.72613202400436
2024-09-01,840,806,1477597.95,927983.56,783085.69,91317.61,28,9193,0.03333333333333333,932.244869047619,85.18282279995648,91.3738714239095
2024-10-01,833,795,1517913.52,969047.64,824375.71,96020.47,34,9221,0.04081632653061224,989.6467106842737,89.40198568484979,90.33727361457542
2024-11-01,863,824,1599269.74,1039849.59,870606.91,103973.87,42,9249,0.04866743916570104,1008.8144959443802,94.12984214509677,93.30738458211698
2024-12-01,786,751,1523588.27,959254.96,802607.83,99826.2,36,9277,0.04580152671755725,1021.129554707379,86.51588121159857,84.72566562466315
2025-01-01,886,840,1969708.03,1251637.16,1052819.67,122100.09,41,9305,0.046275395033860044,1188.2840519187357,113.14558516926382,95.21762493283181
2025-02-01,830,789,1804287.06,1141333.65,963359.61,114988.86,29,9333,0.03493975903614458,1160.6742289156625,103.22078752812601,88.93174756241294
2025-03-01,842,804,2065500.74,1272341.17,1069415.87,122449.52,41,9361,0.048693586698337295,1270.090106888361,114.24162696293132,89.94765516504647
2025-04-01,824,786,2064782.01,1280479.39,1060484.67,138229.12,39,9389,0.04733009708737864,1286.995958737864,112.94969325806794,87.76227500266269
2025-05-01,805,768,2034652.06,1302795.58,1077930.35,131574.71,38,9417,0.04720496894409938,1339.0439130434784,114.46642773707127,85.4836996920463
2025-06-01,870,831,1957915.07,1227648.97,1022403.26,122027.26,44,9445,0.05057471264367816,1175.1761609195403,108.24809528851245,92.11222869242985
2025-07-01,819,785,1807952.3,1123294.72,939194.36,110097.84,41,9473,0.050061050061050064,1146.7574603174603,99.14434286920722,86.45624406207115
2025-08-01,785,751,1560159.5,983487.03,809771.03,98395.33,45,9501,0.05732484076433121,1031.5554522292994,85.23008420166299,82.62288180191558
2025-09-01,809,776,1736714.81,1076277.6,889749.88,115447.38,37,9529,0.04573547589616811,1099.8144375772558,93.37284919718753,84.89873019204533
2025-10-01,773,735,1445374.09,886361.4,744548.85,87350.05,43,9557,0.055627425614489,963.1938551099612,77.90612639949775,80.88312231871926
2025-11-01,813,778,2112133.6,1206034.13,970852.75,99154.62,46,9585,0.056580565805658053,1194.160824108241,101.28875847678664,84.82003129890454
2025-12-01,868,834,1890805.79,1164697.82,993282.84,117960.91,34,9613,0.03917050691244239,1144.3350691244239,103.32704046603557,90.29439300946635
