provider_id,provider_name,service_category,region,payer,total_claims,total_billed,total_allowed,total_paid,medicare_benchmark_total,paid_to_billed_rate,allowed_to_billed_rate,benchmark_variance_amount,benchmark_variance_pct,benchmark_flag
PRV004,Provider Group 04,Inpatient,South,Commercial,38,705024.95,505552.9,434281.25,373313.88,0.6159799734746977,0.7170709348654967,132239.02000000002,0.3542301186336817,Above benchmark
PRV010,Provider Group 10,Inpatient,Midwest,Commercial,28,313141.9,226315.1,192742.82,161483.39,0.6155127116492555,0.7227237875225256,64831.70999999999,0.4014760279679538,Above benchmark
PRV017,Provider Group 17,Inpatient,South,Commercial,17,263274.5,192917.88,156379.35,135746.12,0.5939783381983443,0.7327632566010002,57171.76000000001,0.42116680756694935,Above benchmark
PRV036,Provider Group 36,Inpatient,Northeast,Commercial,23,286128.93,209281.47,169468.5,152268.59,0.5922802003977717,0.7314236627523124,57012.880000000005,0.37442311641553916,Above benchmark
PRV001,Provider Group 01,Inpatient,South,Commercial,26,315758.71,223970.04,170230.7,167596.37,0.5391164031548014,0.709307559560273,56373.67000000001,0.3363656981353475,Above benchmark
PRV011,Provider Group 11,Inpatient,Midwest,Commercial,28,311980.61,224822.62,197625.79,168913.49,0.6334553612161987,0.7206301058261281,55909.130000000005,0.33099268744018023,Above benchmark
PRV009,Provider Group 09,Inpatient,Northeast,Commercial,26,306830.7,221576.39,198652.13,165904.57,0.6474323788330176,0.7221454372069027,55671.82000000001,0.33556531926757655,Above benchmark
PRV024,Provider Group 24,Inpatient,West,Commercial,22,296592.38,220130.03,192494.94999999998,164827.08,0.64902190002319,0.7421971865898914,55302.95000000001,0.33552101996832084,Above benchmark
PRV034,Provider Group 34,Inpatient,Midwest,Commercial,30,332390.15,237606.49,185616.07,182666.53,0.5584283108269003,0.7148421516100882,54939.95999999999,0.3007664294055402,Above benchmark
PRV025,Provider Group 25,Inpatient,South,Commercial,25,286178.55,201278.8,178301.99,147588.33,0.6230445643113364,0.7033329367277876,53690.47,0.3637853345179799,Above benchmark
PRV002,Provider Group 02,Inpatient,Midwest,Commercial,21,254140.06,182646.93,160453.22,131428.28,0.6313574491168374,0.7186861056064912,51218.649999999994,0.3897079837003116,Above benchmark
PRV038,Provider Group 38,Inpatient,South,Commercial,29,291050.53,212119.53,182129.65,161892.51,0.6257664261941044,0.7288065409123288,50227.01999999999,0.31024918941586604,Above benchmark
PRV006,Provider Group 06,Inpatient,West,Commercial,21,263282.65,189742.26,148481.54,140594.88,0.5639624943003271,0.7206789357369352,49147.380000000005,0.34956735266604305,Above benchmark
PRV026,Provider Group 26,Inpatient,Northeast,Commercial,26,254860.79,185778.24,155215.42,137134.46,0.609020398940143,0.7289400617490042,48643.78,0.354715948128574,Above benchmark
PRV029,Provider Group 29,Inpatient,Northeast,Commercial,27,327024.18,218577.13,186142.4,170381.3,0.5692007239342363,0.6683821667254085,48195.830000000016,0.2828704206388848,Above benchmark
PRV040,Provider Group 40,Inpatient,South,Commercial,27,253059.69,175083.83,151004.23,129130.02,0.5967138820094184,0.6918677170591649,45953.80999999998,0.35587239899753736,Above benchmark
PRV039,Provider Group 39,Inpatient,Northeast,Commercial,23,282966.5,203506.22,161640.01,157806.78,0.5712337326149916,0.7191883844907436,45699.44,0.2895911062883357,Above benchmark
