provider_id,provider_name,service_category,baseline_paid_amount,simulated_paid_amount,baseline_benchmark_variance,simulated_benchmark_variance,member_months,total_claims,dollar_impact,percent_impact,pmpm_impact,benchmark_variance_impact,scenario_name,risk_rank,affected_provider_flag,scenario_type
PRV004,Provider Group 04,Inpatient,563438.09,535266.1855,134885.1,103106.81149999997,9591,58,-28171.904499999946,-0.049999999999999906,-2.9373271296006616,-31778.28850000004,Provider contract change -5%,1,1,provider_contract_change
PRV039,Provider Group 39,Inpatient,362655.6,344522.82,51627.41,30908.860499999973,9600,55,-18132.77999999997,-0.04999999999999992,-1.8888312499999969,-20718.54950000003,Provider contract change -5%,2,1,provider_contract_change
PRV017,Provider Group 17,Inpatient,356851.49,339008.9155,57211.530000000006,36857.12299999999,9564,50,-17842.574499999988,-0.04999999999999997,-1.8655975010455863,-20354.407000000014,Provider contract change -5%,3,1,provider_contract_change
PRV009,Provider Group 09,Inpatient,352901.76,335256.67199999996,65558.58,45715.46999999999,9567,57,-17645.088000000047,-0.050000000000000135,-1.8443700219504595,-19843.110000000015,Provider contract change -5%,4,1,provider_contract_change
PRV029,Provider Group 29,Inpatient,344610.77999999997,327380.241,53919.52,33891.15899999998,9582,59,-17230.53899999999,-0.049999999999999975,-1.7982194740137747,-20028.36100000002,Provider contract change -5%,5,1,provider_contract_change
PRV004,Provider Group 04,Outpatient,175281.42,166517.349,50784.28,40556.252499999995,9498,93,-8764.071000000025,-0.05000000000000014,-0.9227280480101101,-10228.027500000004,Provider contract change -5%,6,1,provider_contract_change
PRV017,Provider Group 17,Outpatient,170629.29,162097.8255,24865.27,15041.959499999992,9536,129,-8531.464500000002,-0.05000000000000001,-0.894658609479866,-9823.310500000009,Provider contract change -5%,7,1,provider_contract_change
PRV029,Provider Group 29,Outpatient,158543.01,150615.8595,14153.54,5099.988499999994,9551,128,-7927.150500000018,-0.05000000000000011,-0.8299812061564252,-9053.551500000007,Provider contract change -5%,8,1,provider_contract_change
PRV009,Provider Group 09,Outpatient,134039.1,127337.14499999999,16314.15,8776.254499999994,9538,109,-6701.955000000016,-0.05000000000000012,-0.7026583141119749,-7537.895500000006,Provider contract change -5%,9,1,provider_contract_change
PRV039,Provider Group 39,Outpatient,124281.15,118067.0925,12598.199999999999,5538.349999999993,9586,109,-6214.057499999995,-0.04999999999999997,-0.6482430106405169,-7059.850000000006,Provider contract change -5%,10,1,provider_contract_change
PRV039,Provider Group 39,Emergency,84131.2,79924.64,14564.54,9824.528999999997,9446,55,-4206.559999999998,-0.049999999999999975,-0.4453271225915729,-4740.011000000004,Provider contract change -5%,11,1,provider_contract_change
PRV029,Provider Group 29,Emergency,71479.39,67905.4205,10426.890000000001,6385.574499999996,9501,52,-3573.9695000000065,-0.05000000000000009,-0.3761677191874546,-4041.315500000005,Provider contract change -5%,12,1,provider_contract_change
PRV009,Provider Group 09,Emergency,69379.93,65910.9335,15552.559999999998,11657.667499999996,9472,51,-3468.996499999994,-0.04999999999999992,-0.3662369615709453,-3894.8925000000017,Provider contract change -5%,13,1,provider_contract_change
PRV017,Provider Group 17,Emergency,64058.72,60855.784,9910.460000000001,6123.0009999999975,9451,39,-3202.9360000000015,-0.050000000000000024,-0.3388991641096182,-3787.4590000000035,Provider contract change -5%,14,1,provider_contract_change
PRV004,Provider Group 04,Emergency,53043.13,50390.9735,2760.0099999999993,-254.9225000000032,9483,40,-2652.1564999999973,-0.049999999999999954,-0.27967483918591135,-3014.9325000000026,Provider contract change -5%,15,1,provider_contract_change
PRV004,Provider Group 04,Professional,50438.35,47916.432499999995,8429.99,5569.104499999998,9572,133,-2521.917500000003,-0.050000000000000065,-0.26346818846636055,-2860.885500000002,Provider contract change -5%,16,1,provider_contract_change
PRV017,Provider Group 17,Professional,47390.03,45020.5285,7229.25,4488.585499999997,9599,139,-2369.5014999999985,-0.04999999999999997,-0.2468487863319094,-2740.6645000000026,Provider contract change -5%,17,1,provider_contract_change
PRV029,Provider Group 29,Professional,46034.73,43732.9935,2855.63,225.074499999998,9559,167,-2301.7365000000063,-0.050000000000000135,-0.24079260382885306,-2630.555500000002,Provider contract change -5%,18,1,provider_contract_change
PRV009,Provider Group 09,Professional,42927.19,40780.8305,6480.91,4032.565999999998,9580,147,-2146.359500000006,-0.050000000000000135,-0.22404587682672295,-2448.344000000002,Provider contract change -5%,19,1,provider_contract_change
PRV039,Provider Group 39,Professional,39834.73,37842.9935,5996.82,3742.2174999999984,9583,150,-1991.7365000000063,-0.050000000000000155,-0.20784060315141462,-2254.6025000000013,Provider contract change -5%,20,1,provider_contract_change
PRV009,Provider Group 09,Imaging,32400.65,30780.6175,4870.76,3025.214499999998,9496,53,-1620.0325000000012,-0.05000000000000003,-0.17060156908171875,-1845.545500000002,Provider contract change -5%,21,1,provider_contract_change
PRV039,Provider Group 39,Imaging,28829.21,27387.749499999998,5006.73,3367.0829999999983,9537,42,-1441.460500000001,-0.05000000000000004,-0.15114401803502162,-1639.6470000000013,Provider contract change -5%,22,1,provider_contract_change
PRV004,Provider Group 04,Imaging,28185.81,26776.5195,4737.629999999999,3125.4749999999985,9578,36,-1409.2905000000028,-0.0500000000000001,-0.14713828565462547,-1612.1550000000007,Provider contract change -5%,23,1,provider_contract_change
PRV029,Provider Group 29,Imaging,27949.99,26552.4905,2417.8199999999997,816.7849999999983,9584,48,-1397.4995000000017,-0.05000000000000006,-0.14581589106844758,-1601.0350000000014,Provider contract change -5%,24,1,provider_contract_change
PRV017,Provider Group 17,Imaging,26883.170000000002,25539.011499999997,4063.7200000000003,2526.006999999999,9528,42,-1344.158500000005,-0.05000000000000018,-0.1410745696893372,-1537.713000000001,Provider contract change -5%,25,1,provider_contract_change
PRV004,Provider Group 04,Pharmacy,17340.87,16473.8265,2252.2799999999997,1261.0589999999988,9522,73,-867.0434999999998,-0.04999999999999999,-0.09105686830497792,-991.2210000000009,Provider contract change -5%,26,1,provider_contract_change
PRV017,Provider Group 17,Pharmacy,15303.39,14538.2205,2372.15,1490.876499999999,9555,69,-765.1695,-0.05,-0.08008053375196232,-881.2735000000011,Provider contract change -5%,27,1,provider_contract_change
PRV009,Provider Group 09,Pharmacy,12514.52,11888.794,2032.8400000000001,1313.4054999999992,9563,73,-625.7260000000006,-0.050000000000000044,-0.06543197741294579,-719.434500000001,Provider contract change -5%,28,1,provider_contract_change
PRV039,Provider Group 39,Pharmacy,11228.46,10667.037,1628.8500000000001,991.0664999999995,9555,59,-561.4229999999989,-0.049999999999999906,-0.05875698587127147,-637.7835000000007,Provider contract change -5%,29,1,provider_contract_change
PRV029,Provider Group 29,Pharmacy,10281.39,9767.3205,353.55000000000007,-242.33400000000034,9514,61,-514.0694999999996,-0.04999999999999997,-0.05403295143998314,-595.8840000000005,Provider contract change -5%,30,1,provider_contract_change
PRV009,Provider Group 09,Lab,4062.75,3859.6124999999997,744.9499999999999,514.7469999999996,9574,44,-203.13750000000027,-0.050000000000000065,-0.02121762063923128,-230.20300000000032,Provider contract change -5%,31,1,provider_contract_change
PRV017,Provider Group 17,Lab,3751.16,3563.602,714.67,505.0574999999998,9608,38,-187.558,-0.05,-0.019521024146544545,-209.61250000000018,Provider contract change -5%,32,1,provider_contract_change
PRV039,Provider Group 39,Lab,3290.25,3125.7374999999997,520.47,332.21149999999983,9478,38,-164.51250000000027,-0.050000000000000086,-0.017357301118379433,-188.2585000000002,Provider contract change -5%,33,1,provider_contract_change
PRV004,Provider Group 04,Lab,3008.31,2857.8945,461.65000000000003,291.5559999999999,9511,27,-150.41550000000007,-0.050000000000000024,-0.015814898538534336,-170.0940000000001,Provider contract change -5%,34,1,provider_contract_change
PRV029,Provider Group 29,Lab,2980.75,2831.7125,283.6500000000001,114.88549999999992,9574,33,-149.0374999999999,-0.04999999999999997,-0.01556689993733026,-168.76450000000017,Provider contract change -5%,35,1,provider_contract_change
PRV027,Provider Group 27,Inpatient,219946.11000000002,219946.11000000002,33677.159999999996,33677.159999999996,9569,44,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV027,Provider Group 27,Lab,2801.7,2801.7,289.06000000000006,289.06000000000006,9506,37,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV001,Provider Group 01,Emergency,70253.33,70253.33,12037.64,12037.64,9563,40,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV027,Provider Group 27,Pharmacy,12449.33,12449.33,1292.18,1292.18,9606,75,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV027,Provider Group 27,Professional,35982.88,35982.88,5258.83,5258.83,9558,149,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV028,Provider Group 28,Emergency,67538.29,67538.29,9090.119999999999,9090.119999999999,9491,50,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV028,Provider Group 28,Imaging,20504.89,20504.89,3655.44,3655.44,9594,45,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV028,Provider Group 28,Inpatient,177132.61,177132.61,23534.04,23534.04,9446,36,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV028,Provider Group 28,Lab,2122.76,2122.76,395.19000000000005,395.19000000000005,9526,31,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
PRV028,Provider Group 28,Outpatient,116227.49,116227.49,18237.21,18237.21,9522,108,0.0,0.0,0.0,0.0,Provider contract change -5%,36,0,provider_contract_change
