provider_id,provider_name,service_category,baseline_paid_amount,simulated_paid_amount,baseline_benchmark_variance,simulated_benchmark_variance,member_months,total_claims,dollar_impact,percent_impact,pmpm_impact,benchmark_variance_impact,scenario_name,risk_rank,scenario_type
PRV004,Provider Group 04,Inpatient,563438.09,591609.9945,134885.1,166663.38850000003,9591,58,28171.904500000062,0.050000000000000114,2.937327129600674,31778.288500000024,Reimbursement rate change +5%,1,rate_change
PRV012,Provider Group 12,Inpatient,375760.52,394548.54600000003,63965.7,85399.96250000002,9528,55,18788.026000000013,0.05000000000000003,1.9718751049538217,21434.262500000026,Reimbursement rate change +5%,2,rate_change
PRV039,Provider Group 39,Inpatient,362655.6,380788.38,51627.41,72345.95950000004,9600,55,18132.780000000028,0.05000000000000008,1.8888312500000028,20718.549500000037,Reimbursement rate change +5%,3,rate_change
PRV010,Provider Group 10,Inpatient,362389.61,380509.0905,71231.5,92092.24550000002,9579,60,18119.480500000005,0.05000000000000002,1.8915837248146994,20860.74550000002,Reimbursement rate change +5%,4,rate_change
PRV017,Provider Group 17,Inpatient,356851.49,374694.06450000004,57211.530000000006,77565.93700000002,9564,50,17842.574500000046,0.05000000000000013,1.8655975010455925,20354.407000000014,Reimbursement rate change +5%,5,rate_change
PRV009,Provider Group 09,Inpatient,352901.76,370546.848,65558.58,85401.69000000002,9567,57,17645.08799999999,0.04999999999999997,1.8443700219504535,19843.110000000015,Reimbursement rate change +5%,6,rate_change
PRV011,Provider Group 11,Inpatient,346792.77999999997,364132.419,64587.520000000004,83927.92050000002,9604,54,17339.639000000025,0.05000000000000007,1.8054601207830097,19340.400500000018,Reimbursement rate change +5%,7,rate_change
PRV029,Provider Group 29,Inpatient,344610.77999999997,361841.319,53919.52,73947.88100000001,9582,59,17230.539000000048,0.05000000000000014,1.798219474013781,20028.36100000001,Reimbursement rate change +5%,8,rate_change
PRV034,Provider Group 34,Inpatient,344443.55,361665.72750000004,64271.6,83769.10350000001,9591,58,17222.17750000005,0.05000000000000014,1.7956602544051765,19497.503500000013,Reimbursement rate change +5%,9,rate_change
PRV002,Provider Group 02,Inpatient,340471.76,357495.348,59192.149999999994,78477.28800000002,9455,53,17023.58799999999,0.04999999999999997,1.800485245901638,19285.13800000002,Reimbursement rate change +5%,10,rate_change
PRV020,Provider Group 20,Inpatient,340001.81,357001.90050000005,37140.35,56395.11150000002,9544,52,17000.09050000005,0.05000000000000015,1.7812332879295945,19254.761500000022,Reimbursement rate change +5%,11,rate_change
PRV024,Provider Group 24,Inpatient,318649.64,334582.12200000003,47372.09,65391.84100000001,9536,44,15932.482000000018,0.05000000000000005,1.6707720218120825,18019.75100000001,Reimbursement rate change +5%,12,rate_change
PRV038,Provider Group 38,Inpatient,312191.36,327800.928,48958.49999999999,66671.641,9573,57,15609.568000000028,0.05000000000000009,1.6305826804554506,17713.14100000001,Reimbursement rate change +5%,13,rate_change
PRV001,Provider Group 01,Inpatient,310240.05,325752.05250000005,61088.96,78582.59400000001,9552,55,15512.00250000006,0.0500000000000002,1.62395336055277,17493.634000000013,Reimbursement rate change +5%,14,rate_change
PRV025,Provider Group 25,Inpatient,289039.02,303490.971,51481.23,67735.71350000001,9555,47,14451.951000000001,0.05,1.5125014128728416,16254.48350000001,Reimbursement rate change +5%,15,rate_change
PRV036,Provider Group 36,Inpatient,288424.65,302845.8825,55633.01000000001,72111.22100000002,9445,43,14421.232499999984,0.04999999999999994,1.5268642138697706,16478.21100000001,Reimbursement rate change +5%,16,rate_change
PRV026,Provider Group 26,Inpatient,282363.18,296481.33900000004,41297.04,57462.46350000001,9487,52,14118.159000000043,0.050000000000000155,1.4881584273216026,16165.423500000012,Reimbursement rate change +5%,17,rate_change
