provider_id,provider_name,service_category,baseline_paid_amount,simulated_paid_amount,baseline_benchmark_variance,simulated_benchmark_variance,member_months,total_claims,dollar_impact,percent_impact,pmpm_impact,benchmark_variance_impact,scenario_name,risk_rank,scenario_type
PRV004,Provider Group 04,Inpatient,563438.09,619781.8990000001,134885.1,201283.18900000004,9591,58,56343.809000000125,0.10000000000000023,5.874654259201348,66398.08900000004,Utilization change +10%,1,utilization_change
PRV012,Provider Group 12,Inpatient,375760.52,413336.57200000004,63965.7,107537.95800000003,9528,55,37576.052000000025,0.10000000000000006,3.9437502099076434,43572.25800000003,Utilization change +10%,2,utilization_change
PRV039,Provider Group 39,Inpatient,362655.6,398921.16000000003,51627.41,95903.67800000004,9600,55,36265.560000000056,0.10000000000000016,3.7776625000000057,44276.26800000004,Utilization change +10%,3,utilization_change
PRV010,Provider Group 10,Inpatient,362389.61,398628.57100000005,71231.5,113865.18900000004,9579,60,36238.96100000007,0.10000000000000019,3.783167449629405,42633.68900000004,Utilization change +10%,4,utilization_change
PRV017,Provider Group 17,Inpatient,356851.49,392536.639,57211.530000000006,99949.56600000005,9564,50,35685.149000000034,0.1000000000000001,3.731195002091179,42738.036000000044,Utilization change +10%,5,utilization_change
PRV009,Provider Group 09,Inpatient,352901.76,388191.93600000005,65558.58,106083.91600000003,9567,57,35290.176000000036,0.1000000000000001,3.6887400439009133,40525.336000000025,Utilization change +10%,6,utilization_change
PRV011,Provider Group 11,Inpatient,346792.77999999997,381472.058,64587.520000000004,104508.03000000003,9604,54,34679.27800000005,0.10000000000000014,3.6109202415660193,39920.510000000024,Utilization change +10%,7,utilization_change
PRV029,Provider Group 29,Inpatient,344610.77999999997,379071.858,53919.52,94987.93200000003,9582,59,34461.07800000004,0.10000000000000012,3.5964389480275556,41068.41200000003,Utilization change +10%,8,utilization_change
PRV034,Provider Group 34,Inpatient,344443.55,378887.905,64271.6,106435.63700000003,9591,58,34444.35500000004,0.10000000000000012,3.5913205088103473,42164.03700000003,Utilization change +10%,9,utilization_change
PRV002,Provider Group 02,Inpatient,340471.76,374518.93600000005,59192.149999999994,98188.56400000003,9455,53,34047.176000000036,0.1000000000000001,3.6009704918032823,38996.41400000003,Utilization change +10%,10,utilization_change
