service_month,service_category,claim_count,visits,unique_members,member_months,total_paid,total_allowed,claims_per_member,visits_per_1000_members,cost_per_visit,cost_per_member,pmpm
2024-01-01,Emergency,82,82,82,8963,95326.09,113943.56999999999,1.0,9.148722525939975,1162.5132926829267,1162.5132926829267,10.635511547472944
2024-01-01,Imaging,73,73,73,8969,33313.41,38304.51,1.0,8.139145947151299,456.34808219178086,456.34808219178086,3.714283643661501
2024-01-01,Inpatient,73,73,73,8959,333285.64,415025.44,1.0,8.148230829333631,4565.556712328767,4565.556712328767,37.20120995646836
2024-01-01,Lab,69,69,69,8958,5441.84,6343.11,1.0,7.702612190221032,78.8672463768116,78.8672463768116,0.6074838133511945
2024-01-01,Outpatient,185,185,184,8969,188755.93,221744.08000000002,1.0054347826086956,20.626602742780687,1020.3023243243243,1025.847445652174,21.04537072137362
2024-01-01,Pharmacy,132,132,132,8966,21404.96,25749.05,1.0,14.722284184697747,162.15878787878788,162.15878787878788,2.3873477581976355
2024-01-01,Professional,269,269,266,8966,63725.68,74463.51,1.0112781954887218,30.002230649118896,236.89843866171003,239.5702255639098,7.107481597144769
2024-02-01,Emergency,74,74,73,8997,87732.39,104220.68,1.0136986301369864,8.224963876847838,1185.5728378378378,1201.8135616438356,9.751293764588196
2024-02-01,Imaging,66,66,66,8991,32077.77,36720.22,1.0,7.340674007340675,486.0268181818182,486.0268181818182,3.5677644310977645
2024-02-01,Inpatient,74,74,73,8996,391962.53,456741.73,1.0136986301369864,8.2258781680747,5296.790945945946,5369.349726027398,43.5707570031125
2024-02-01,Lab,58,58,58,8994,4720.54,5462.88,1.0,6.4487436068490105,81.38862068965517,81.38862068965517,0.5248543473426729
2024-02-01,Outpatient,176,176,175,8994,181994.08,212456.44,1.0057142857142858,19.568601289748724,1034.0572727272727,1039.9661714285714,20.23505448076495
2024-02-01,Pharmacy,125,125,123,8997,21284.21,25195.170000000002,1.016260162601626,13.89352006224297,170.27367999999998,173.04235772357723,2.3657007891519393
2024-02-01,Professional,236,236,234,8993,53430.98,63497.45,1.0085470085470085,26.242633159123763,226.40245762711865,228.3375213675214,5.941396641832537
2024-03-01,Emergency,71,71,71,9023,95022.75,111329.45,1.0,7.8687797849939045,1338.3485915492959,1338.3485915492959,10.531170342458163
2024-03-01,Imaging,40,40,40,9023,20176.15,23111.88,1.0,4.433115371827552,504.40375000000006,504.40375000000006,2.2360800177324616
2024-03-01,Inpatient,90,90,89,9025,494656.72,591966.19,1.0112359550561798,9.972299168975068,5496.185777777778,5557.940674157303,54.809608864265925
2024-03-01,Lab,53,53,53,9015,4529.29,5232.55,1.0,5.8790904048807535,85.45830188679246,85.45830188679246,0.5024170826400444
2024-03-01,Outpatient,193,193,191,9025,206238.66,246958.82,1.0104712041884816,21.385041551246537,1068.5940932642486,1079.7835602094242,22.851929085872577
2024-03-01,Pharmacy,120,120,119,9025,20213.09,24569.329999999998,1.0084033613445378,13.296398891966758,168.44241666666667,169.85789915966387,2.23967756232687
2024-03-01,Professional,259,259,250,9025,64507.28,75679.94,1.036,28.698060941828256,249.06285714285713,258.02912,7.147621052631579
2024-04-01,Emergency,66,66,65,9045,76484.34999999999,94875.4,1.0153846153846153,7.2968490878938645,1158.8537878787877,1176.6823076923076,8.455981205085681
2024-04-01,Imaging,66,66,66,9047,38437.69,44142.37,1.0,7.295235989830883,582.3892424242424,582.3892424242424,4.248666961423677
2024-04-01,Inpatient,85,85,85,9051,488007.12,584503.23,1.0,9.391227488675284,5741.260235294118,5741.260235294118,53.91748094133245
2024-04-01,Lab,65,65,65,9046,5644.87,6909.41,1.0,7.185496351978776,86.84415384615384,86.84415384615384,0.624018350652222
2024-04-01,Outpatient,192,192,190,9053,211642.35,253238.35,1.0105263157894737,21.208439191428255,1102.30390625,1113.907105263158,23.37814536617696
2024-04-01,Pharmacy,123,123,122,9052,20433.8,24273.56,1.0081967213114753,13.588157313300929,166.12845528455284,167.49016393442622,2.257379584622183
2024-04-01,Professional,276,276,271,9052,72827.42,85532.6,1.018450184501845,30.490499337163058,263.86746376811595,268.73586715867157,8.045450729120637
2024-05-01,Emergency,71,71,70,9078,95901.49,112670.55,1.0142857142857142,7.8211059704780785,1350.7252112676058,1370.0212857142858,10.564165014320336
2024-05-01,Imaging,73,73,73,9079,33407.9,42462.63,1.0,8.04053309835885,457.6424657534247,457.6424657534247,3.6796893931049675
2024-05-01,Inpatient,83,83,83,9079,486051.7,563631.32,1.0,9.141975988544994,5856.044578313253,5856.044578313253,53.535818922788856
2024-05-01,Lab,61,61,61,9071,4605.28,5722.08,1.0,6.724727152463896,75.49639344262295,75.49639344262295,0.5076926468967038
2024-05-01,Outpatient,189,189,188,9080,228614.98,269056.11,1.0053191489361701,20.814977973568283,1209.603068783069,1216.0371276595745,25.177861233480176
2024-05-01,Pharmacy,125,125,124,9081,23566.95,27291.02,1.0080645161290323,13.76500385420108,188.53560000000002,190.05604838709678,2.595193260654113
2024-05-01,Professional,228,228,227,9081,56934.79,66499.01,1.0044052863436124,25.10736703006277,249.71399122807017,250.81405286343613,6.269660830305033
2024-06-01,Emergency,82,82,81,9108,98158.75,120178.06,1.0123456790123457,9.003074220465525,1197.0579268292684,1211.8364197530864,10.777201361440492
2024-06-01,Imaging,69,69,69,9099,31142.86,38608.05,1.0,7.583250906693043,451.3457971014493,451.3457971014493,3.4226684251016595
2024-06-01,Inpatient,90,90,89,9106,482944.75,587276.81,1.0112359550561798,9.883593235229519,5366.052777777778,5426.345505617977,53.03588293432902
2024-06-01,Lab,52,52,52,9106,4220.01,4970.32,1.0,5.710520535910389,81.15403846153846,81.15403846153846,0.46343180320667693
2024-06-01,Outpatient,172,172,170,9106,190150.18,220208.57,1.011764705882353,18.888644849549745,1105.5243023255814,1118.5304705882352,20.88185591917417
2024-06-01,Pharmacy,132,132,129,9109,24399.91,28117.96,1.0232558139534884,14.49116258645296,184.84780303030303,189.14658914728682,2.678659567460753
2024-06-01,Professional,244,244,240,9109,64450.67,76005.14,1.0166666666666666,26.7866944779888,264.1420901639344,268.54445833333335,7.075493467998682
2024-07-01,Emergency,60,60,60,9132,75693.18000000001,91959.54,1.0,6.570302233902759,1261.553,1261.553,8.288784494086729
